Unnamed: 0,Unnamed: 1,VALUE FORMAT - PLANOGRAM SCHEMATIC LAYOUT,Unnamed: 2,Unnamed: 3
LAYOUT / [ EFFECTIVE DATE ],,SEGMENT,,CLASS
T1AP_W1600-711_SNACKING / [ 05/12/2025 ],,SNACKING,,SNACKING
BAY,,FIXTURE TYPE,,PLANOGRAM SEGMENT
W16002,,,,Segment: 2 of 3
LOC Article,,Vertical Depth,Shelf,Remarks/Tagging
Shelf ID Code UPC,,Description Facings Facings Facings,Qty,
6 1 493635128 8901491002486,KURKURE PLAYZ YUMY CHEESE PUFCORN 84g PP,3 1 4,12,
6 2 491696362 8901491001168,KURKURE MASALA MUNCH 94g PP,3 1 4,12,
5 1 490003816 8901491100519,KURKURE MASALA MUNCH 75g PP,3 1 4,12,
5 2 490003817 8901491100533,KURKURE RED CHILLI CHATKA 68g PP,2 1 4,8,
5 3 490005614 8901491103084,KURKURE GRN CHUTNY RAJASTHANI 68G PP,2 1 5,10,
4 1 491071334 8901491366229,KURKURE SOLID MASTI MSLA TWISTEEZ 61G PP,3 1 4,12,
4 2 491055246 8901491366052,KURKURE PUFFCORN CHEESE 52 g PP,3 1 7,21,
3 1 491696485 8901725118921,BINGO TEDHE MEDHE MASALA TADKA 75G PP,3 1 5,15,
3 2 490373600 8901725013684,BINGO ACHARI MASTI MAD ANGLES 60G PP,3 1 5,15,
2 1 494317616 8906090574051,TOO YUMM WAFERS SPICY CHILLY 82g,1 1 6,6,
2 2 491584837 8906090572132,TOO YUMM KARARE MUNCHY MASALA 70G PP,1 1 6,6,
2 3 491584836 8906090572118,TOO YUMM KARARE CHILLI ACHARI 70G PP,1 1 6,6,
2 4 491417083 8906090571258,TOO YUMM MGC DP CHAAT CHIPS 41G PP,1 1 6,6,
2 5 491417080 8906090570848,TOO YUMM VS SOUR CREAM ONION 41G PP,1 1 6,6,
2 6 490115580 8901725013790,BINGO MAD ANGLES MASALA 60GPP,1 1 6,6,
2 7 490115583 8901725013769,BINGO MADANGLES TOMATO MADNESS 60G PP,1 1 6,6,
1 1 492488939 8901725004927,BINGO MAD ANGLES CHEESE NACHOS 80G PP,1 1 5,5,
1 2 491551829 8901725013691,BINGO MAD ANGLES ACHARI MASTI 117G PP,1 1 8,8,
1 3 491696364 8901491990097,DORITOS SWEET CHILLI CRON CHIPS 82.5G PP,1 1 7,7,
1 4 491696344 8901491001106,DORITOS NACHO CHEESE 53G PP,1 1 8,8,
1 5 491696345 8901491001083,DORITOS SWEET CHILLI NACHO 53G PP,1 1 8,8,
1 6 492426336 8901491002561,Dinamita FieryLime&Chili#56gms,1 1 9,9,
1 7 492426335 8901491003025,DORITOS DINAMITA SIZZLIN#HOT56GMS PP,1 1 9,9,
