Unnamed: 0,Unnamed: 1,VALUE FORMAT - PLANOGRAM SCHEMATIC LAYOUT,Unnamed: 2,Unnamed: 3
LAYOUT / [ EFFECTIVE DATE ],,SEGMENT,,CLASS
T1AP_W1600-711_SNACKING / [ 05/12/2025 ],,SNACKING,,SNACKING
BAY,,FIXTURE TYPE,,PLANOGRAM SEGMENT
W16003,,,,Segment: 3 of 3
LOC Article,,Vertical Depth,Shelf,Remarks/Tagging
Shelf ID Code UPC,,Description Facings Facings Facings,Qty,
6 1 491361496 38000183713,PRINGLES BBQ CHIPS 165g CAN,1 1 3,3,
6 2 491585905 38000138577,PRINGLES CHEDDAR CHEESE CHIPS¿ 158g CAN,1 1 2,2,
6 2 491585907 38000138416,PRINGLES ORIGINAL CHIPS 149g CAN,1 1 1,1,
6 3 493031769 8886467122873,PRINGLES SR CRM&ONN PTT CHIPS 141G CAN,1 1 3,3,
6 4 493031768 8886467122866,PRINGLES ORIGINAL POTATO CRISPS 141G CAN,1 1 3,3,
6 5 491129205 8886467122408,PRINGLES SOURCRM&ONN FLV PTT CRSP107gCAN,1 1 3,3,
6 6 491432568 8886467122415,PRINGLES PIZZA POTATO CHIPS 102GCAN,1 1 3,3,
6 7 491335710 8886467122446,PRINGLES PERI PERI POTATO CHIPS 102G CAN,1 1 3,3,
6 8 492172683 8886467124716,PRINGLES ORIGINAL 40G CAN,1 1 3,3,
6 8 492172684 8886467124723,PRINGLES SOUR CREAM & ONION 40G CAN,1 1 3,3,
6 9 492426291 8908022924019,Pop Art Cheese Caramel Popcorn,1 2 2,4,
5 1 492426595 8906125982356,4700BC CrunchyCorn SourCreamNOnion40g,1 1 8,8,
5 2 490160675 8850291210464,TONG GARDEN SALTED CASHEW NUTS 40g PP,1 1 9,9,
5 3 490160674 8850291530463,TONG GARDEN SALTED COCKTAIL NUTS 32G PP,1 1 12,12,
5 4 490160663 8850291110719,TONG GARDEN SALTED PEANUTS 30G PP,1 1 8,8,
5 5 490160666 8850291510717,TONG GARDEN PARTY SNCK MIXED NUTS 32g PP,1 1 8,8,
5 6 490160670 8850291180309,TONG GARDEN SALTED PUMPKINS 28 g PP,1 1 9,9,
5 7 490160668 8850291100031,TONG GARDEN B B Q SUNFLOWERS 30GM PP,1 1 9,9,
5 8 490160669 8850291160318,TONG GARDEN SALTED SUNFLOWERS 30 g PP,1 1 9,9,
5 9 491397748 8908001017947,CORNITOS ROASTED ALMONDS SLTD 30g PP,1 1 12,12,
4 1 493031959 8906120100830,FARM ROAS & FLAVO MAKH PERI PERI 77G JAR,1 1 3,3,
4 2 494311242 8906120100663,FARMLEY R&S MAKHANA 77g,1 1 3,3,
4 3 491376833 8901537075863,KARI KARI RIC CRAKR P MX CHILI GRI50G PP,1 1 12,12,
4 4 494408371 8906084416015,MOM H SLTNPEP MAKHANA 65G,1 1 4,4,
4 5 492426606 8908010213835,Makino Peanuts Tandoori 150G,1 1 5,5,
4 6 492426535 8906084415056,MOM Rostd Peanust Sriracha 140G Pouch,1 1 4,4,
3 1 492427191 8906090574242,Too Yumm Namkeen Tasty Nuts 200g,1 1 4,4,
3 2 492427190 8906090574198,Too Yumm Namkeen Bikaneri Bhujia 190g,1 1 4,4,
3 3 492427194 8906090573658,Too Yumm Namkeen Moong Dal 190g,1 1 4,4,
3 4 492391097 793591862453,BEYOND SNACK BNANA CHIPS ORIGINAL 75g PP,1 1 6,6,
3 5 492391098 793591862460,BEYOND SNACK BNANA CHIP PERI PERI 75g PP,1 1 6,6,
3 6 492391100 794712831686,BEYOND SNACK BNANA CHIP SALT PPR 75g PP,1 1 6,6,
2 1 492426607 8908010213811,Makino Corn Munch Cream & Onion 150G,1 1 4,4,
2 2 492426608 8908010213804,Makino Corn Munch Red Chilli Chatka 150G,1 1 4,4,
2 3 493717911 8906125981748,4700BC CHEESE n HERBS CORN CHIPS 55g PP,1 1 4,4,
2 3 491432413 8908005312635,4700BC HIMALAYAN SALT CRML POPCRN 60G PP,1 1 2,2,
2 4 491432410 8908005312604,4700BC HAWAIIAN BBQ CHEESE POPCRN 35G PP,1 1 4,4,
2 4 492426846 8906125982561,4700BC Netflix Gourmt ChsNCrml Ppcrn 50g,1 1 3,3,
2 5 492426594 8906125982424,4700BC Premium Popcorn Cheese Jumbo45g,1 1 3,3,
2 5 492426845 8906125982578,4700BC Netflix JumboSwtNSlty Pcrn 60g,1 1 1,1,
1 1 494260696 8901491003537,CHEETOS MASALA BALLS 84G PP,1 1 8,8,
1 2 490007675 8901565001711,PEPPY CHEESE BALLS 55 G PP,1 1 7,7,
1 3 492426806 9556378303607,Bika Cheese Flav Corn Ball 60G,1 1 8,8,
1 4 490200912 8901565001698,PEPPY TOMATO DISC 55 G PP,1 1 7,7,
1 5 490929247 8908001017046,CORNITOS CHEES & HRBS NACHO CRSPS 55g PP,1 1 6,6,
